Season,Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG
2020-2021,Bernd Leno,de GER,GK,28,49,"4,421",90,83.7,49.1,49,90,48,0,,6,1.67,75,48,+27,+0.55,-0.55,63.0,48.0,+15.0,+0.33,-0.99
2020-2021,Granit Xhaka,ch SUI,"MF,DF",27,45,"3,720",83,70.5,41.3,42,87,33,3,26,4,1.74,68,37,+31,+0.75,+0.46,60.7,36.8,+23.9,+0.64,+0.60
2020-2021,Bukayo Saka,eng ENG,"FW,MF",18,46,"3,592",78,68.0,39.9,41,84,22,5,33,7,1.71,57,39,+18,+0.45,-0.51,48.6,36.7,+11.9,+0.33,-0.47
2020-2021,Rob Holding,eng ENG,DF,24,39,"3,353",86,63.5,37.3,36,91,35,3,31,11,1.59,49,31,+18,+0.48,-0.36,45.3,36.6,+8.7,+0.26,-0.56
2020-2021,Pierre-Emerick Aubameyang,ga GAB,FW,31,39,"3,043",78,60.7,33.8,33,89,23,6,20,5,1.59,47,33,+14,+0.41,-0.64,42.7,33.8,+8.9,+0.29,-0.46
2020-2021,Nicolas Pépé,ci CIV,FW,25,47,"2,934",62,56.9,32.6,30,85,17,17,23,7,1.64,55,34,+21,+0.64,+0.04,42.8,31.8,+11.1,+0.40,-0.16
2020-2021,Kieran Tierney,sct SCO,DF,23,38,"2,929",77,55.5,32.5,32,88,27,6,18,3,1.81,46,32,+14,+0.43,-0.56,41.4,31.2,+10.3,+0.34,-0.32
2020-2021,Gabriel Magalhães,br BRA,DF,22,32,"2,806",88,54.4,31.2,31,89,30,1,45,15,1.50,39,36,+3,+0.10,-1.17,36.8,29.2,+7.6,+0.27,-0.44
2020-2021,Héctor Bellerín,es ESP,"DF,MF",25,35,"2,767",79,52.4,30.7,32,85,23,3,19,14,1.57,37,31,+6,+0.20,-0.88,38.1,32.7,+5.4,+0.18,-0.66
2020-2021,Alexandre Lacazette,fr FRA,FW,29,43,"2,444",57,47.4,27.2,28,79,7,15,16,10,1.65,48,27,+21,+0.77,+0.28,40.9,28.7,+12.1,+0.47,0.00
2020-2021,Mohamed Elneny,eg EGY,MF,28,41,"2,439",59,46.2,27.1,27,84,18,14,13,14,2.02,47,30,+17,+0.63,+0.03,33.4,25.8,+7.6,+0.35,-0.21
2020-2021,Dani Ceballos,es ESP,MF,23,40,"2,371",59,47.9,26.3,25,81,13,15,24,10,1.55,40,31,+9,+0.34,-0.57,33.9,23.9,+10.0,+0.41,-0.12
2020-2021,David Luiz,br BRA,DF,33,30,"2,311",77,43.8,25.7,27,84,22,3,12,5,1.80,44,26,+18,+0.70,+0.16,33.9,22.5,+11.4,+0.52,+0.08
2020-2021,Emile Smith Rowe,eng ENG,"MF,FW",20,33,"2,209",67,41.8,24.5,26,78,8,7,25,4,1.94,46,18,+28,+1.14,+0.90,37.2,20.4,+16.9,+0.72,+0.45
2020-2021,Thomas Partey,gh GHA,MF,27,33,"2,107",64,43.1,23.4,24,80,13,9,22,2,1.57,32,21,+11,+0.47,-0.37,29.5,20.5,+9.0,+0.39,-0.14
2020-2021,Willian,br BRA,FW,31,37,"1,892",51,36.7,21.0,21,76,7,16,19,9,1.78,30,20,+10,+0.48,-0.24,28.2,19.1,+9.0,+0.47,0.00
2020-2021,Cédric Soares,pt POR,DF,28,24,"1,811",75,34.3,20.1,19,87,15,5,31,20,1.96,37,23,+14,+0.70,+0.12,28.5,15.3,+13.3,+0.88,+0.58
2020-2021,Pablo Marí,es ESP,DF,26,16,"1,470",92,28.5,16.3,16,92,16,0,,13,2.06,34,13,+21,+1.29,+0.86,25.0,16.4,+8.7,+0.58,+0.15
2020-2021,Martin Ødegaard,no NOR,MF,21,20,"1,286",64,27.5,14.3,14,80,4,6,27,2,1.60,25,18,+7,+0.49,-0.28,21.1,15.6,+5.5,+0.38,-0.12
2020-2021,Eddie Nketiah,eng ENG,FW,21,29,"1,224",42,23.2,13.6,14,75,3,15,11,18,1.66,22,12,+10,+0.74,+0.16,16.7,8.5,+8.2,+0.84,+0.45
2020-2021,Ainsley Maitland-Niles,eng ENG,"MF,DF",22,21,"1,218",58,23.1,13.5,13,88,11,8,9,10,2.05,28,15,+13,+0.96,+0.45,19.2,9.9,+9.3,+0.92,+0.55
2020-2021,Calum Chambers,eng ENG,DF,25,16,"1,054",66,21.6,11.7,11,89,10,5,14,13,2.00,25,14,+11,+0.94,+0.32,16.8,12.8,+4.0,+0.34,-0.17
2020-2021,Joe Willock,eng ENG,MF,20,17,942,55,17.8,10.5,10,80,5,7,20,12,2.12,16,9,+7,+0.67,+0.07,12.1,7.9,+4.2,+0.65,+0.21
2020-2021,Gabriel Martinelli,br BRA,FW,19,22,802,36,15.5,8.9,9,67,2,13,15,11,1.50,16,6,+10,+1.12,+0.59,16.1,6.8,+9.3,+1.20,+0.86
2020-2021,Sead Kolašinac,ba BIH,DF,27,9,758,84,15.0,8.4,8,90,8,1,38,3,2.44,18,8,+10,+1.19,+0.67,11.1,5.3,+5.8,+1.17,+0.77
2020-2021,Shkodran Mustafi,de GER,DF,28,9,537,60,10.8,6.0,6,82,4,3,16,7,2.33,19,9,+10,+1.68,+1.17,11.7,3.7,+8.1,+1.63,+1.28
2020-2021,Reiss Nelson,eng ENG,"FW,MF",20,9,479,53,9.1,5.3,5,74,2,4,28,10,2.44,10,1,+9,+1.69,+1.18,8.6,3.2,+5.5,+1.57,+1.18
2020-2021,Rúnar Alex Rúnarsson,is ISL,GK,25,6,466,78,9.0,5.2,5,90,5,1,16,27,2.00,15,7,+8,+1.55,+1.00,10.1,3.6,+6.4,+1.53,+1.16
2020-2021,Mathew Ryan,au AUS,GK,28,3,270,90,5.5,3.0,3,90,3,0,,21,1.33,3,2,+1,+0.33,-0.10,5.4,2.3,+3.1,+1.04,+0.88
2020-2021,Emiliano Martínez,ar ARG,GK,27,1,120,120,100.0,1.3,1,120,1,0,,0,3.00,1,1,0,0.00,,,,,,
2020-2021,Folarin Balogun,us USA,FW,19,6,82,14,5.4,0.9,0,,0,6,14,0,2.50,3,1,+2,+2.20,+1.14,1.6,0.2,+1.5,+1.94,+0.87
2020-2021,Ben Cottrell,eng ENG,FW,18,1,14,14,1.1,0.2,0,,0,1,14,1,3.00,1,1,0,0.00,-1.44,0.3,0.1,+0.3,+1.81,+0.70
2020-2021,Miguel Azeez,eng ENG,MF,17,1,8,8,0.2,0.1,0,,0,1,8,5,3.00,0,1,-1,-11.25,-12.76,0.0,0.1,-0.1,-0.58,-1.71
2020-2021,Matt Macey,eng ENG,GK,25,0,,,,,0,,0,0,,7,,,,,,,,,,,
2020-2021,Karl Jakob Hein,ee EST,GK,18,0,,,,,0,,0,0,,7,,,,,,,,,,,
2020-2021,Arthur Okonkwo,eng ENG,GK,18,0,,,,,0,,0,0,,3,,,,,,,,,,,
2020-2021,Joel López,es ESP,DF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
2020-2021,James Hillson,eng ENG,GK,19,0,,,,,0,,0,0,,1,,,,,,,,,,,
2020-2021,James Olayinka,eng ENG,MF,19,0,,,,,0,,,0,,1,,,,,,,,,,,
2020-2021,Tyreece John-Jules,eng ENG,FW,19,0,,,,,0,,,0,,1,,,,,,,,,,,
2020-2021,William Saliba,fr FRA,DF,19,0,,,,,0,,,0,,2,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,
