Season,Player Name,Gross P/W (USD),Gross P/Y (USD),Adj. Gross (2025 USD),Position,Age,Country
2020-2021,Mesut Özil,"£ 350,000","£ 18,200,000","£ 20,976,271",F,32,Germany
2020-2021,Pierre-Emerick Aubameyang,"£ 250,000","£ 13,000,000","£ 14,983,051",F,31,Gabon
2020-2021,Thomas Partey,"£ 200,000","£ 10,400,000","£ 11,986,441",M,27,Ghana
2020-2021,Alexandre Lacazette,"£ 182,115","£ 9,470,000","£ 10,914,576",F,29,France
2020-2021,Willian,"£ 138,462","£ 7,200,000","£ 8,298,305",F,32,Brazil
2020-2021,Dani Ceballos,"£ 120,000","£ 6,240,000","£ 7,191,864",M,24,Spain
2020-2021,Kieran Tierney,"£ 110,000","£ 5,720,000","£ 6,592,542",D,23,Scotland
2020-2021,Héctor Bellerín,"£ 110,000","£ 5,720,000","£ 6,592,542",D,25,Spain
2020-2021,David Luiz,"£ 100,962","£ 5,250,000","£ 6,050,847",D,33,Brazil
2020-2021,Sead Kolasinac,"£ 100,000","£ 5,200,000","£ 5,993,220",D,27,Bosnia-Herzegovina
2020-2021,Nicolas Pépé,"£ 100,000","£ 5,200,000","£ 5,993,220",F,25,Cote d'Ivoire
2020-2021,Granit Xhaka,"£ 100,000","£ 5,200,000","£ 5,993,220",M,28,Switzerland
2020-2021,Bernd Leno,"£ 100,000","£ 5,200,000","£ 5,993,220",K,28,Germany
2020-2021,Sokratis,"£ 91,923","£ 4,780,000","£ 5,509,153",D,32,Greece
2020-2021,Shkodran Mustafi,"£ 90,000","£ 4,680,000","£ 5,393,898",D,28,Germany
2020-2021,Pablo Marí,"£ 85,000","£ 4,420,000","£ 5,094,237",D,27,Spain
2020-2021,Martin Ødegaard,"£ 80,000","£ 4,160,000","£ 4,794,576",F,22,Norway
2020-2021,Cédric Soares,"£ 75,000","£ 3,900,000","£ 4,494,915",D,29,Portugal
2020-2021,Gabriel Martinelli,"£ 70,000","£ 3,640,000","£ 4,195,254",F,19,Brazil
2020-2021,Bukayo Saka,"£ 70,000","£ 3,640,000","£ 4,195,254",M,19,England
2020-2021,Mohamed Elneny,"£ 50,000","£ 2,600,000","£ 2,996,610",M,28,Egypt
2020-2021,Gabriel Magalhães,"£ 50,000","£ 2,600,000","£ 2,996,610",D,22,Brazil
2020-2021,Calum Chambers,"£ 50,000","£ 2,600,000","£ 2,996,610",D,25,England
